id,first_name,department,salary
1,Ahmed,Sales,95500
2,Sarah,Engineering,150000
3,Elena,Engineering,91500
4,Kenji,Engineering,109500
5,Marcus,Engineering,56000
6,Yuki,HR,53500
7,Priya,Engineering,115500
8,Yuki,Engineering,150500
9,Kenji,Engineering,73500
10,Kenji,Engineering,118500
11,Kenji,HR,51000
12,Priya,Engineering,116000
13,Eric,Marketing,98500
14,Eric,Engineering,118000
15,Sofia,Sales,58000
16,Kenji,Sales,92500
17,Hannah,Engineering,117000
18,Sarah,Sales,108500
19,Elena,HR,144000
20,Ahmed,HR,119500
